Reference,Value,Footprint,Datasheet,MPN
C1,1uF,MICROBUILDER__0603MP,,CL10B105KP8NNNC
"C5, C7, C14",1uF,MICROBUILDER_0603-NO,,CL10B105KP8NNNC
"C6, C8",10uF,MICROBUILDER_0805-NO,,C0805C106K8PACTU
C9,10uF,MICROBUILDER__0805MP,,C0805C106K8PACTU
"D1, D2",MBR120,ADAFRUIT_SOD-123FL,,MBR120VLSFT3G
IC1,74HCT1G125DBV,74XX-LITTLE-US_SOT23-5,,SN74AHCT1G125DBVR
IC2,ATSAMD51G_TQFN48,MICROBUILDER_TQFN48_7MM,,ATSAMD51G19A-MU
JP1,~,MICROBUILDER_1X05_ROUND_70,,
"JP2, JP4",~,MICROBUILDER_1X14_ROUND70,,
L2,AP102-2020,MICROBUILDER_APA102_2020,,APA102-2020
L36,RED,MICROBUILDER_CHIPLED_0603_NOOUTLINE,,150060RS75000
"R1, R2",100k,MICROBUILDER_0603-NO,,ESR03EZPJ104
R3,2.2K,MICROBUILDER__0603MP,,ERJ-3GEYJ222V
R4,10K,MICROBUILDER__0603MP,,ERJ-3GEYJ103V
R7,2.2K,MICROBUILDER_0603-NO,,ERJ-3GEYJ222V
SJ1,~,MICROBUILDER_SOLDERJUMPER_CLOSEDWIRE,,
SW1,SPST_TACT-KMR2,ADAFRUIT_KMR2,,KMR231NG LFS
U1,GD25x16,MICROBUILDER_USON8,,GD25Q16CTIGR
U2,AP2112K-3.3,MICROBUILDER_SOT23-5,,AP2112K-3.3TRG1
X3,microUSB,MICROBUILDER_4UCONN_20329_V2,,10118194-0001LF
